num_gpu,job_id,duration,submit_time,interval,model_name
1,application_1506638472019_7541,2491,11381,0,resnet50
1,application_1506638472019_7542,2545,11381,0,vgg16
1,application_1506638472019_7543,2585,11381,0,resnet50
1,application_1506638472019_7544,2599,11381,0,inception4
1,application_1506638472019_7545,2541,11381,0,vgg19
1,application_1506638472019_7546,2523,11381,0,vgg11
1,application_1506638472019_7547,2632,11381,0,inception4
1,application_1506638472019_7549,2550,11382,0,vgg16
1,application_1506638472019_7548,2523,11382,0,inception4
1,application_1506638472019_7550,2580,11382,0,vgg11
1,application_1506638472019_7551,2555,11382,0,vgg19
1,application_1506638472019_7552,2569,11382,0,vgg19
1,application_1506638472019_7553,2672,11382,0,resnet101
1,application_1506638472019_7554,2680,11382,0,resnet101
1,application_1506638472019_7555,2522,11382,0,alexnet
1,application_1506638472019_7556,2520,11383,0,vgg16
1,application_1506638472019_7557,2448,11383,0,alexnet
1,application_1506638472019_7558,2683,11383,0,vgg19
1,application_1506638472019_7559,2672,11383,0,alexnet
1,application_1506638472019_7560,2650,11383,0,vgg19
1,application_1506638472019_7561,2477,11383,0,resnet50
1,application_1506638472019_7562,2735,11383,0,vgg11
1,application_1506638472019_7563,2517,11383,0,vgg11
1,application_1506638472019_7564,2615,11383,0,vgg19
1,application_1506638472019_7565,2661,11383,0,vgg19
1,application_1506638472019_7566,2460,11383,0,vgg19
1,application_1506638472019_7567,2556,11383,0,inception3
1,application_1506638472019_7569,2662,11384,0,resnet50
1,application_1506638472019_7570,2546,11384,0,vgg19
1,application_1506638472019_7571,2611,11384,0,vgg16
1,application_1506638472019_7572,2570,11384,0,resnet50
1,application_1506638472019_7573,2598,11384,0,vgg19
1,application_1506638472019_7574,2628,11384,0,alexnet
1,application_1506638472019_7575,2568,11384,0,resnet50
1,application_1506638472019_7576,2472,11384,0,inception3
1,application_1506638472019_7577,2477,11384,0,vgg16
1,application_1506638472019_7578,2638,11385,0,vgg16
1,application_1506638472019_7579,2549,11385,0,inception3
1,application_1506638472019_7581,2511,11385,0,vgg16
1,application_1506638472019_7582,2555,11385,0,vgg11
1,application_1506638472019_7583,2608,11385,0,vgg19
1,application_1506638472019_7584,2520,11385,0,inception4
1,application_1506638472019_7585,2625,11385,0,resnet50
1,application_1506638472019_7586,2487,11386,0,inception4
1,application_1506638472019_7589,2644,11386,0,resnet101
1,application_1506638472019_7590,2470,11386,0,resnet50
1,application_1506638472019_7591,2650,11386,0,vgg19
1,application_1506638472019_7592,2612,11386,0,vgg11
1,application_1506638472019_7594,2588,11386,0,resnet101
